chrom	txStart	txEnd	strand	TF	Bin_1kb	Bin_5kb	Bin_10kb	Bin_25kb	Bin_50kb	Bin_100kb	Bin_250kb	Bin_500kb	Bin_1000kb
chr7	91828282	91875414	-	KRIT1	chr7:91875000	chr7:91875000	chr7:91870000	chr7:91875000	chr7:91850000	chr7:91800000	chr7:91750000	chr7:91500000	chr7:91000000
chr12	75891418	75905418	-	KRR1	chr12:75905000	chr12:75905000	chr12:75900000	chr12:75900000	chr12:75900000	chr12:75900000	chr12:75750000	chr12:75500000	chr12:75000000
chr17	38974368	38978863	-	KRT10	chr17:38978000	chr17:38975000	chr17:38970000	chr17:38975000	chr17:38950000	chr17:38900000	chr17:38750000	chr17:38500000	chr17:38000000
chr17	39775691	39780882	-	KRT17	chr17:39780000	chr17:39780000	chr17:39780000	chr17:39775000	chr17:39750000	chr17:39700000	chr17:39750000	chr17:39500000	chr17:39000000
chr12	53342654	53346685	+	KRT18	chr12:53342000	chr12:53340000	chr12:53340000	chr12:53325000	chr12:53300000	chr12:53300000	chr12:53250000	chr12:53000000	chr12:53000000
chr17	38811871	38821416	-	KRT222	chr17:38821000	chr17:38820000	chr17:38820000	chr17:38800000	chr17:38800000	chr17:38800000	chr17:38750000	chr17:38500000	chr17:38000000
chr12	52908358	52914243	-	KRT5	chr12:52914000	chr12:52910000	chr12:52910000	chr12:52900000	chr12:52900000	chr12:52900000	chr12:52750000	chr12:52500000	chr12:52000000
chr12	52840434	52845910	-	KRT6B	chr12:52845000	chr12:52845000	chr12:52840000	chr12:52825000	chr12:52800000	chr12:52800000	chr12:52750000	chr12:52500000	chr12:52000000
chr12	53290970	53343650	-	KRT8	chr12:53343000	chr12:53340000	chr12:53340000	chr12:53325000	chr12:53300000	chr12:53300000	chr12:53250000	chr12:53000000	chr12:53000000
chr1	155141883	155145804	-	KRTCAP2	chr1:155145000	chr1:155145000	chr1:155140000	chr1:155125000	chr1:155100000	chr1:155100000	chr1:155000000	chr1:155000000	chr1:155000000
chr17	25799035	25950718	+	KSR1	chr17:25799000	chr17:25795000	chr17:25790000	chr17:25775000	chr17:25750000	chr17:25700000	chr17:25750000	chr17:25500000	chr17:25000000
chr12	117890816	118406028	-	KSR2	chr12:118406000	chr12:118405000	chr12:118400000	chr12:118400000	chr12:118400000	chr12:118400000	chr12:118250000	chr12:118000000	chr12:118000000
chr1	52497776	52499472	-	KTI12	chr1:52499000	chr1:52495000	chr1:52490000	chr1:52475000	chr1:52450000	chr1:52400000	chr1:52250000	chr1:52000000	chr1:52000000
chr14	56046924	56151302	+	KTN1	chr14:56046000	chr14:56045000	chr14:56040000	chr14:56025000	chr14:56000000	chr14:56000000	chr14:56000000	chr14:56000000	chr14:56000000
chr19	18668571	18680197	+	KXD1	chr19:18668000	chr19:18665000	chr19:18660000	chr19:18650000	chr19:18650000	chr19:18600000	chr19:18500000	chr19:18500000	chr19:18000000
chr2	143635194	143799885	+	KYNU	chr2:143635000	chr2:143635000	chr2:143630000	chr2:143625000	chr2:143600000	chr2:143600000	chr2:143500000	chr2:143500000	chr2:143000000
chrX	153126968	153151628	-	L1CAM	chrX:153151000	chrX:153150000	chrX:153150000	chrX:153150000	chrX:153150000	chrX:153100000	chrX:153000000	chrX:153000000	chrX:153000000
chr14	50709151	50778947	-	L2HGDH	chr14:50778000	chr14:50775000	chr14:50770000	chr14:50775000	chr14:50750000	chr14:50700000	chr14:50750000	chr14:50500000	chr14:50000000
chr14	59939405	59951073	-	L3HYPDH	chr14:59951000	chr14:59950000	chr14:59950000	chr14:59950000	chr14:59950000	chr14:59900000	chr14:59750000	chr14:59500000	chr14:59000000
chr20	42136319	42170535	+	L3MBTL1	chr20:42136000	chr20:42135000	chr20:42130000	chr20:42125000	chr20:42100000	chr20:42100000	chr20:42000000	chr20:42000000	chr20:42000000
chr22	41601312	41627275	+	L3MBTL2	chr22:41601000	chr22:41600000	chr22:41600000	chr22:41600000	chr22:41600000	chr22:41600000	chr22:41500000	chr22:41500000	chr22:41000000
chr6	130339727	130462594	+	L3MBTL3	chr6:130339000	chr6:130335000	chr6:130330000	chr6:130325000	chr6:130300000	chr6:130300000	chr6:130250000	chr6:130000000	chr6:130000000
chr18	5954704	6414910	-	L3MBTL4	chr18:6414000	chr18:6410000	chr18:6410000	chr18:6400000	chr18:6400000	chr18:6400000	chr18:6250000	chr18:6000000	chr18:6000000
chr6	108616077	108846987	+	LACE1	chr6:108616000	chr6:108615000	chr6:108610000	chr6:108600000	chr6:108600000	chr6:108600000	chr6:108500000	chr6:108500000	chr6:108000000
chr15	63413998	63434264	+	LACTB	chr15:63413000	chr15:63410000	chr15:63410000	chr15:63400000	chr15:63400000	chr15:63400000	chr15:63250000	chr15:63000000	chr15:63000000
chr8	71549500	71581447	-	LACTB2	chr8:71581000	chr8:71580000	chr8:71580000	chr8:71575000	chr8:71550000	chr8:71500000	chr8:71500000	chr8:71500000	chr8:71000000
chr12	6881669	6887621	+	LAG3	chr12:6881000	chr12:6880000	chr12:6880000	chr12:6875000	chr12:6850000	chr12:6800000	chr12:6750000	chr12:6500000	chr12:6000000
chrX	153706107	153707596	-	LAGE3	chrX:153707000	chrX:153705000	chrX:153700000	chrX:153700000	chrX:153700000	chrX:153700000	chrX:153500000	chrX:153500000	chrX:153000000
chr19	54865232	54882163	-	LAIR1	chr19:54882000	chr19:54880000	chr19:54880000	chr19:54875000	chr19:54850000	chr19:54800000	chr19:54750000	chr19:54500000	chr19:54000000
chr19	55014012	55021900	+	LAIR2	chr19:55014000	chr19:55010000	chr19:55010000	chr19:55000000	chr19:55000000	chr19:55000000	chr19:55000000	chr19:55000000	chr19:55000000
chr18	6941742	7117813	-	LAMA1	chr18:7117000	chr18:7115000	chr18:7110000	chr18:7100000	chr18:7100000	chr18:7100000	chr18:7000000	chr18:7000000	chr18:7000000
chr20	60884115	60942368	-	LAMA5	chr20:60942000	chr20:60940000	chr20:60940000	chr20:60925000	chr20:60900000	chr20:60900000	chr20:60750000	chr20:60500000	chr20:60000000
chr7	107564245	107643804	-	LAMB1	chr7:107643000	chr7:107640000	chr7:107640000	chr7:107625000	chr7:107600000	chr7:107600000	chr7:107500000	chr7:107500000	chr7:107000000
chr1	209788217	209825820	-	LAMB3	chr1:209825000	chr1:209825000	chr1:209820000	chr1:209825000	chr1:209800000	chr1:209800000	chr1:209750000	chr1:209500000	chr1:209000000
chr1	182992594	183114727	+	LAMC1	chr1:182992000	chr1:182990000	chr1:182990000	chr1:182975000	chr1:182950000	chr1:182900000	chr1:182750000	chr1:182500000	chr1:182000000
chr13	113951468	113977741	+	LAMP1	chr13:113951000	chr13:113950000	chr13:113950000	chr13:113950000	chr13:113950000	chr13:113900000	chr13:113750000	chr13:113500000	chr13:113000000
chrX	119560002	119603204	-	LAMP2	chrX:119603000	chrX:119600000	chrX:119600000	chrX:119600000	chrX:119600000	chrX:119600000	chrX:119500000	chrX:119500000	chrX:119000000
chr3	182840002	182880667	-	LAMP3	chr3:182880000	chr3:182880000	chr3:182880000	chr3:182875000	chr3:182850000	chr3:182800000	chr3:182750000	chr3:182500000	chr3:182000000
chr11	71808337	71814433	-	LAMTOR1	chr11:71814000	chr11:71810000	chr11:71810000	chr11:71800000	chr11:71800000	chr11:71800000	chr11:71750000	chr11:71500000	chr11:71000000
chr1	156024516	156028301	+	LAMTOR2	chr1:156024000	chr1:156020000	chr1:156020000	chr1:156000000	chr1:156000000	chr1:156000000	chr1:156000000	chr1:156000000	chr1:156000000
chr4	100799494	100815703	-	LAMTOR3	chr4:100815000	chr4:100815000	chr4:100810000	chr4:100800000	chr4:100800000	chr4:100800000	chr4:100750000	chr4:100500000	chr4:100000000
chr7	99746521	99751835	+	LAMTOR4	chr7:99746000	chr7:99745000	chr7:99740000	chr7:99725000	chr7:99700000	chr7:99700000	chr7:99500000	chr7:99500000	chr7:99000000
chr1	110943876	110950546	-	LAMTOR5	chr1:110950000	chr1:110950000	chr1:110950000	chr1:110950000	chr1:110950000	chr1:110900000	chr1:110750000	chr1:110500000	chr1:110000000
chr2	211295972	211341499	-	LANCL1	chr2:211341000	chr2:211340000	chr2:211340000	chr2:211325000	chr2:211300000	chr2:211300000	chr2:211250000	chr2:211000000	chr2:211000000
chr7	55433140	55501435	+	LANCL2	chr7:55433000	chr7:55430000	chr7:55430000	chr7:55425000	chr7:55400000	chr7:55400000	chr7:55250000	chr7:55000000	chr7:55000000
chr4	17578926	17609590	+	LAP3	chr4:17578000	chr4:17575000	chr4:17570000	chr4:17575000	chr4:17550000	chr4:17500000	chr4:17500000	chr4:17500000	chr4:17000000
chr2	20232410	20251789	-	LAPTM4A	chr2:20251000	chr2:20250000	chr2:20250000	chr2:20250000	chr2:20250000	chr2:20200000	chr2:20250000	chr2:20000000	chr2:20000000
chr8	98787808	98864830	+	LAPTM4B	chr8:98787000	chr8:98785000	chr8:98780000	chr8:98775000	chr8:98750000	chr8:98700000	chr8:98750000	chr8:98500000	chr8:98000000
chr1	31205314	31230683	-	LAPTM5	chr1:31230000	chr1:31230000	chr1:31230000	chr1:31225000	chr1:31200000	chr1:31200000	chr1:31000000	chr1:31000000	chr1:31000000
chr5	154092461	154197167	+	LARP1	chr5:154092000	chr5:154090000	chr5:154090000	chr5:154075000	chr5:154050000	chr5:154000000	chr5:154000000	chr5:154000000	chr5:154000000
chr4	128982420	129132298	+	LARP1B	chr4:128982000	chr4:128980000	chr4:128980000	chr4:128975000	chr4:128950000	chr4:128900000	chr4:128750000	chr4:128500000	chr4:128000000
chr12	50794591	50873788	+	LARP4	chr12:50794000	chr12:50790000	chr12:50790000	chr12:50775000	chr12:50750000	chr12:50700000	chr12:50750000	chr12:50500000	chr12:50000000
chr10	852853	977645	-	LARP4B	chr10:977000	chr10:975000	chr10:970000	chr10:975000	chr10:950000	chr10:900000	chr10:750000	chr10:500000	chr10:0
chr15	71123862	71146604	-	LARP6	chr15:71146000	chr15:71145000	chr15:71140000	chr15:71125000	chr15:71100000	chr15:71100000	chr15:71000000	chr15:71000000	chr15:71000000
chr4	113558119	113578748	+	LARP7	chr4:113558000	chr4:113555000	chr4:113550000	chr4:113550000	chr4:113550000	chr4:113500000	chr4:113500000	chr4:113500000	chr4:113000000
chr5	145492588	145562350	-	LARS	chr5:145562000	chr5:145560000	chr5:145560000	chr5:145550000	chr5:145550000	chr5:145500000	chr5:145500000	chr5:145500000	chr5:145000000
chr3	45430074	45590328	+	LARS2	chr3:45430000	chr3:45430000	chr3:45430000	chr3:45425000	chr3:45400000	chr3:45400000	chr3:45250000	chr3:45000000	chr3:45000000
chrX	64732461	64754686	-	LAS1L	chrX:64754000	chrX:64750000	chrX:64750000	chrX:64750000	chrX:64750000	chrX:64700000	chrX:64750000	chrX:64500000	chrX:64000000
chr17	37026111	37078023	+	LASP1	chr17:37026000	chr17:37025000	chr17:37020000	chr17:37025000	chr17:37000000	chr17:37000000	chr17:37000000	chr17:37000000	chr17:37000000
chr16	28996146	29002104	+	LAT	chr16:28996000	chr16:28995000	chr16:28990000	chr16:28975000	chr16:28950000	chr16:28900000	chr16:28750000	chr16:28500000	chr16:28000000
chr7	73624086	73644164	+	LAT2	chr7:73624000	chr7:73620000	chr7:73620000	chr7:73600000	chr7:73600000	chr7:73600000	chr7:73500000	chr7:73500000	chr7:73000000
chr6	149979288	150039392	-	LATS1	chr6:150039000	chr6:150035000	chr6:150030000	chr6:150025000	chr6:150000000	chr6:150000000	chr6:150000000	chr6:150000000	chr6:150000000
chr13	21547175	21635722	-	LATS2	chr13:21635000	chr13:21635000	chr13:21630000	chr13:21625000	chr13:21600000	chr13:21600000	chr13:21500000	chr13:21500000	chr13:21000000
chr1	203734283	203745480	+	LAX1	chr1:203734000	chr1:203730000	chr1:203730000	chr1:203725000	chr1:203700000	chr1:203700000	chr1:203500000	chr1:203500000	chr1:203000000
chr11	111411004	111432470	+	LAYN	chr11:111411000	chr11:111410000	chr11:111410000	chr11:111400000	chr11:111400000	chr11:111400000	chr11:111250000	chr11:111000000	chr11:111000000
chr2	30454396	30482899	+	LBH	chr2:30454000	chr2:30450000	chr2:30450000	chr2:30450000	chr2:30450000	chr2:30400000	chr2:30250000	chr2:30000000	chr2:30000000
chr1	225589203	225616557	-	LBR	chr1:225616000	chr1:225615000	chr1:225610000	chr1:225600000	chr1:225600000	chr1:225600000	chr1:225500000	chr1:225500000	chr1:225000000
chr2	74724643	74730443	-	LBX2	chr2:74730000	chr2:74730000	chr2:74730000	chr2:74725000	chr2:74700000	chr2:74700000	chr2:74500000	chr2:74500000	chr2:74000000
chr6	80194707	80247147	-	LCA5	chr6:80247000	chr6:80245000	chr6:80240000	chr6:80225000	chr6:80200000	chr6:80200000	chr6:80000000	chr6:80000000	chr6:80000000
chr21	40777769	40816128	-	LCA5L	chr21:40816000	chr21:40815000	chr21:40810000	chr21:40800000	chr21:40800000	chr21:40800000	chr21:40750000	chr21:40500000	chr21:40000000
chr1	152777310	152779107	-	LCE1C	chr1:152779000	chr1:152775000	chr1:152770000	chr1:152775000	chr1:152750000	chr1:152700000	chr1:152750000	chr1:152500000	chr1:152000000
chr1	152758752	152760901	+	LCE1E	chr1:152758000	chr1:152755000	chr1:152750000	chr1:152750000	chr1:152750000	chr1:152700000	chr1:152750000	chr1:152500000	chr1:152000000
chr1	32716839	32751768	+	LCK	chr1:32716000	chr1:32715000	chr1:32710000	chr1:32700000	chr1:32700000	chr1:32700000	chr1:32500000	chr1:32500000	chr1:32000000
chr2	30670091	30867091	+	LCLAT1	chr2:30670000	chr2:30670000	chr2:30670000	chr2:30650000	chr2:30650000	chr2:30600000	chr2:30500000	chr2:30500000	chr2:30000000
chr16	25123046	25189551	+	LCMT1	chr16:25123000	chr16:25120000	chr16:25120000	chr16:25100000	chr16:25100000	chr16:25100000	chr16:25000000	chr16:25000000	chr16:25000000
chr15	43619973	43622820	-	LCMT2	chr15:43622000	chr15:43620000	chr15:43620000	chr15:43600000	chr15:43600000	chr15:43600000	chr15:43500000	chr15:43500000	chr15:43000000
chr10	98592016	98724198	+	LCOR	chr10:98592000	chr10:98590000	chr10:98590000	chr10:98575000	chr10:98550000	chr10:98500000	chr10:98500000	chr10:98500000	chr10:98000000
chr4	17842821	18023498	-	LCORL	chr4:18023000	chr4:18020000	chr4:18020000	chr4:18000000	chr4:18000000	chr4:18000000	chr4:18000000	chr4:18000000	chr4:18000000
chr13	46700057	46756459	-	LCP1	chr13:46756000	chr13:46755000	chr13:46750000	chr13:46750000	chr13:46750000	chr13:46700000	chr13:46750000	chr13:46500000	chr13:46000000
chr5	169675087	169724822	-	LCP2	chr5:169724000	chr5:169720000	chr5:169720000	chr5:169700000	chr5:169700000	chr5:169700000	chr5:169500000	chr5:169500000	chr5:169000000
chr10	103866248	103880230	-	LDB1	chr10:103880000	chr10:103880000	chr10:103880000	chr10:103875000	chr10:103850000	chr10:103800000	chr10:103750000	chr10:103500000	chr10:103000000
chr4	16503156	16900432	-	LDB2	chr4:16900000	chr4:16900000	chr4:16900000	chr4:16900000	chr4:16900000	chr4:16900000	chr4:16750000	chr4:16500000	chr4:16000000
chr11	18415935	18429765	+	LDHA	chr11:18415000	chr11:18415000	chr11:18410000	chr11:18400000	chr11:18400000	chr11:18400000	chr11:18250000	chr11:18000000	chr11:18000000
chr12	21788275	21810789	-	LDHB	chr12:21810000	chr12:21810000	chr12:21810000	chr12:21800000	chr12:21800000	chr12:21800000	chr12:21750000	chr12:21500000	chr12:21000000
chr19	11200037	11244505	+	LDLR	chr19:11200000	chr19:11200000	chr19:11200000	chr19:11200000	chr19:11200000	chr19:11200000	chr19:11000000	chr19:11000000	chr19:11000000
chr11	35965530	36253686	+	LDLRAD3	chr11:35965000	chr11:35965000	chr11:35960000	chr11:35950000	chr11:35950000	chr11:35900000	chr11:35750000	chr11:35500000	chr11:35000000
chr18	13218728	13652753	+	LDLRAD4	chr18:13218000	chr18:13215000	chr18:13210000	chr18:13200000	chr18:13200000	chr18:13200000	chr18:13000000	chr18:13000000	chr18:13000000
chr1	25870075	25895377	+	LDLRAP1	chr1:25870000	chr1:25870000	chr1:25870000	chr1:25850000	chr1:25850000	chr1:25800000	chr1:25750000	chr1:25500000	chr1:25000000
chrX	140269930	140271399	-	LDOC1	chrX:140271000	chrX:140270000	chrX:140270000	chrX:140250000	chrX:140250000	chrX:140200000	chrX:140250000	chrX:140000000	chrX:140000000
chr22	44888449	44894005	-	LDOC1L	chr22:44894000	chr22:44890000	chr22:44890000	chr22:44875000	chr22:44850000	chr22:44800000	chr22:44750000	chr22:44500000	chr22:44000000
chr13	53277399	53313947	-	LECT1	chr13:53313000	chr13:53310000	chr13:53310000	chr13:53300000	chr13:53300000	chr13:53300000	chr13:53250000	chr13:53000000	chr13:53000000
chr4	108968700	109090112	-	LEF1	chr4:109090000	chr4:109090000	chr4:109090000	chr4:109075000	chr4:109050000	chr4:109000000	chr4:109000000	chr4:109000000	chr4:109000000
chr3	156544095	156763918	+	LEKR1	chr3:156544000	chr3:156540000	chr3:156540000	chr3:156525000	chr3:156500000	chr3:156500000	chr3:156500000	chr3:156500000	chr3:156000000
chr1	205350505	205391214	-	LEMD1	chr1:205391000	chr1:205390000	chr1:205390000	chr1:205375000	chr1:205350000	chr1:205300000	chr1:205250000	chr1:205000000	chr1:205000000
chr6	33738989	33756906	-	LEMD2	chr6:33756000	chr6:33755000	chr6:33750000	chr6:33750000	chr6:33750000	chr6:33700000	chr6:33750000	chr6:33500000	chr6:33000000
chr12	65563350	65642141	+	LEMD3	chr12:65563000	chr12:65560000	chr12:65560000	chr12:65550000	chr12:65550000	chr12:65500000	chr12:65500000	chr12:65500000	chr12:65000000
chr19	54659377	54663481	-	LENG1	chr19:54663000	chr19:54660000	chr19:54660000	chr19:54650000	chr19:54650000	chr19:54600000	chr19:54500000	chr19:54500000	chr19:54000000
chr19	54960339	54973226	+	LENG8	chr19:54960000	chr19:54960000	chr19:54960000	chr19:54950000	chr19:54950000	chr19:54900000	chr19:54750000	chr19:54500000	chr19:54000000
chr19	54972977	54974894	-	LENG9	chr19:54974000	chr19:54970000	chr19:54970000	chr19:54950000	chr19:54950000	chr19:54900000	chr19:54750000	chr19:54500000	chr19:54000000
chr15	52230221	52263998	-	LEO1	chr15:52263000	chr15:52260000	chr15:52260000	chr15:52250000	chr15:52250000	chr15:52200000	chr15:52250000	chr15:52000000	chr15:52000000
chr1	65886334	66103176	+	LEPR	chr1:65886000	chr1:65885000	chr1:65880000	chr1:65875000	chr1:65850000	chr1:65800000	chr1:65750000	chr1:65500000	chr1:65000000
chr1	65886130	65901690	+	LEPROT	chr1:65886000	chr1:65885000	chr1:65880000	chr1:65875000	chr1:65850000	chr1:65800000	chr1:65750000	chr1:65500000	chr1:65000000
chr8	29952921	29995222	+	LEPROTL1	chr8:29952000	chr8:29950000	chr8:29950000	chr8:29950000	chr8:29950000	chr8:29900000	chr8:29750000	chr8:29500000	chr8:29000000
chr4	1813205	1857974	-	LETM1	chr4:1857000	chr4:1855000	chr4:1850000	chr4:1850000	chr4:1850000	chr4:1800000	chr4:1750000	chr4:1500000	chr4:1000000
chr8	38243958	38267042	+	LETM2	chr8:38243000	chr8:38240000	chr8:38240000	chr8:38225000	chr8:38200000	chr8:38200000	chr8:38000000	chr8:38000000	chr8:38000000
chr12	51442081	51454207	+	LETMD1	chr12:51442000	chr12:51440000	chr12:51440000	chr12:51425000	chr12:51400000	chr12:51400000	chr12:51250000	chr12:51000000	chr12:51000000
chr7	2552162	2568810	+	LFNG	chr7:2552000	chr7:2550000	chr7:2550000	chr7:2550000	chr7:2550000	chr7:2500000	chr7:2500000	chr7:2500000	chr7:2000000
chr22	38071612	38075809	+	LGALS1	chr22:38071000	chr22:38070000	chr22:38070000	chr22:38050000	chr22:38050000	chr22:38000000	chr22:38000000	chr22:38000000	chr22:38000000
chr11	63273523	63284246	+	LGALS12	chr11:63273000	chr11:63270000	chr11:63270000	chr11:63250000	chr11:63250000	chr11:63200000	chr11:63250000	chr11:63000000	chr11:63000000
chr19	40194945	40200088	+	LGALS14	chr19:40194000	chr19:40190000	chr19:40190000	chr19:40175000	chr19:40150000	chr19:40100000	chr19:40000000	chr19:40000000	chr19:40000000
chr22	37966252	37976024	-	LGALS2	chr22:37976000	chr22:37975000	chr22:37970000	chr22:37975000	chr22:37950000	chr22:37900000	chr22:37750000	chr22:37500000	chr22:37000000
chr14	55595934	55612148	+	LGALS3	chr14:55595000	chr14:55595000	chr14:55590000	chr14:55575000	chr14:55550000	chr14:55500000	chr14:55500000	chr14:55500000	chr14:55000000
chr17	76967334	76976061	-	LGALS3BP	chr17:76976000	chr17:76975000	chr17:76970000	chr17:76975000	chr17:76950000	chr17:76900000	chr17:76750000	chr17:76500000	chr17:76000000
chr1	236681513	236716279	+	LGALS8	chr1:236681000	chr1:236680000	chr1:236680000	chr1:236675000	chr1:236650000	chr1:236600000	chr1:236500000	chr1:236500000	chr1:236000000
chr17	25958173	25976586	+	LGALS9	chr17:25958000	chr17:25955000	chr17:25950000	chr17:25950000	chr17:25950000	chr17:25900000	chr17:25750000	chr17:25500000	chr17:25000000
chr17	18380098	18398259	+	LGALS9C	chr17:18380000	chr17:18380000	chr17:18380000	chr17:18375000	chr17:18350000	chr17:18300000	chr17:18250000	chr17:18000000	chr17:18000000
chr2	64681326	64688517	+	LGALSL	chr2:64681000	chr2:64680000	chr2:64680000	chr2:64675000	chr2:64650000	chr2:64600000	chr2:64500000	chr2:64500000	chr2:64000000
chr19	35615416	35626178	-	LGI4	chr19:35626000	chr19:35625000	chr19:35620000	chr19:35625000	chr19:35600000	chr19:35600000	chr19:35500000	chr19:35500000	chr19:35000000
chr14	93170151	93215047	-	LGMN	chr14:93215000	chr14:93215000	chr14:93210000	chr14:93200000	chr14:93200000	chr14:93200000	chr14:93000000	chr14:93000000	chr14:93000000
chr11	27387507	27494334	-	LGR4	chr11:27494000	chr11:27490000	chr11:27490000	chr11:27475000	chr11:27450000	chr11:27400000	chr11:27250000	chr11:27000000	chr11:27000000
chr12	71833549	71980088	+	LGR5	chr12:71833000	chr12:71830000	chr12:71830000	chr12:71825000	chr12:71800000	chr12:71800000	chr12:71750000	chr12:71500000	chr12:71000000
chr2	48913912	48982880	-	LHCGR	chr2:48982000	chr2:48980000	chr2:48980000	chr2:48975000	chr2:48950000	chr2:48900000	chr2:48750000	chr2:48500000	chr2:48000000
chr13	39917028	40177356	-	LHFP	chr13:40177000	chr13:40175000	chr13:40170000	chr13:40175000	chr13:40150000	chr13:40100000	chr13:40000000	chr13:40000000	chr13:40000000
chrX	111873878	111923375	-	LHFPL1	chrX:111923000	chrX:111920000	chrX:111920000	chrX:111900000	chrX:111900000	chrX:111900000	chrX:111750000	chrX:111500000	chrX:111000000
chr5	77781037	77944648	-	LHFPL2	chr5:77944000	chr5:77940000	chr5:77940000	chr5:77925000	chr5:77900000	chr5:77900000	chr5:77750000	chr5:77500000	chr5:77000000
chr10	126150340	126302710	+	LHPP	chr10:126150000	chr10:126150000	chr10:126150000	chr10:126150000	chr10:126150000	chr10:126100000	chr10:126000000	chr10:126000000	chr10:126000000
chr17	35294771	35301915	+	LHX1	chr17:35294000	chr17:35290000	chr17:35290000	chr17:35275000	chr17:35250000	chr17:35200000	chr17:35250000	chr17:35000000	chr17:35000000
chr9	126773888	126795442	+	LHX2	chr9:126773000	chr9:126770000	chr9:126770000	chr9:126750000	chr9:126750000	chr9:126700000	chr9:126750000	chr9:126500000	chr9:126000000
chr9	139088095	139096975	-	LHX3	chr9:139096000	chr9:139095000	chr9:139090000	chr9:139075000	chr9:139050000	chr9:139000000	chr9:139000000	chr9:139000000	chr9:139000000
chr1	180199432	180244188	+	LHX4	chr1:180199000	chr1:180195000	chr1:180190000	chr1:180175000	chr1:180150000	chr1:180100000	chr1:180000000	chr1:180000000	chr1:180000000
chr12	113900693	113909877	-	LHX5	chr12:113909000	chr12:113905000	chr12:113900000	chr12:113900000	chr12:113900000	chr12:113900000	chr12:113750000	chr12:113500000	chr12:113000000
chr9	124964855	124991091	-	LHX6	chr9:124991000	chr9:124990000	chr9:124990000	chr9:124975000	chr9:124950000	chr9:124900000	chr9:124750000	chr9:124500000	chr9:124000000
chr1	75594118	75627218	+	LHX8	chr1:75594000	chr1:75590000	chr1:75590000	chr1:75575000	chr1:75550000	chr1:75500000	chr1:75500000	chr1:75500000	chr1:75000000
chr1	197881634	197899273	+	LHX9	chr1:197881000	chr1:197880000	chr1:197880000	chr1:197875000	chr1:197850000	chr1:197800000	chr1:197750000	chr1:197500000	chr1:197000000
chr4	39460643	39479271	+	LIAS	chr4:39460000	chr4:39460000	chr4:39460000	chr4:39450000	chr4:39450000	chr4:39400000	chr4:39250000	chr4:39000000	chr4:39000000
chr22	30636435	30642840	-	LIF	chr22:30642000	chr22:30640000	chr22:30640000	chr22:30625000	chr22:30600000	chr22:30600000	chr22:30500000	chr22:30500000	chr22:30000000
chr19	48618701	48673860	-	LIG1	chr19:48673000	chr19:48670000	chr19:48670000	chr19:48650000	chr19:48650000	chr19:48600000	chr19:48500000	chr19:48500000	chr19:48000000
chr17	33307516	33332088	+	LIG3	chr17:33307000	chr17:33305000	chr17:33300000	chr17:33300000	chr17:33300000	chr17:33300000	chr17:33250000	chr17:33000000	chr17:33000000
chr13	108859791	108870716	-	LIG4	chr13:108870000	chr13:108870000	chr13:108870000	chr13:108850000	chr13:108850000	chr13:108800000	chr13:108750000	chr13:108500000	chr13:108000000
chr19	55084463	55099028	+	LILRA2	chr19:55084000	chr19:55080000	chr19:55080000	chr19:55075000	chr19:55050000	chr19:55000000	chr19:55000000	chr19:55000000	chr19:55000000
chr19	54844455	54850440	-	LILRA4	chr19:54850000	chr19:54850000	chr19:54850000	chr19:54850000	chr19:54850000	chr19:54800000	chr19:54750000	chr19:54500000	chr19:54000000
chr19	55128383	55148981	+	LILRB1	chr19:55128000	chr19:55125000	chr19:55120000	chr19:55125000	chr19:55100000	chr19:55100000	chr19:55000000	chr19:55000000	chr19:55000000
chr19	55174270	55181810	+	LILRB4	chr19:55174000	chr19:55170000	chr19:55170000	chr19:55150000	chr19:55150000	chr19:55100000	chr19:55000000	chr19:55000000	chr19:55000000
chr12	50569562	50677353	-	LIMA1	chr12:50677000	chr12:50675000	chr12:50670000	chr12:50675000	chr12:50650000	chr12:50600000	chr12:50500000	chr12:50500000	chr12:50000000
chr3	45636322	45722755	+	LIMD1	chr3:45636000	chr3:45635000	chr3:45630000	chr3:45625000	chr3:45600000	chr3:45600000	chr3:45500000	chr3:45500000	chr3:45000000
chr17	61773248	61777519	-	LIMD2	chr17:61777000	chr17:61775000	chr17:61770000	chr17:61775000	chr17:61750000	chr17:61700000	chr17:61750000	chr17:61500000	chr17:61000000
chr20	62367052	62370460	+	LIME1	chr20:62367000	chr20:62365000	chr20:62360000	chr20:62350000	chr20:62350000	chr20:62300000	chr20:62250000	chr20:62000000	chr20:62000000
chr7	73498106	73536855	+	LIMK1	chr7:73498000	chr7:73495000	chr7:73490000	chr7:73475000	chr7:73450000	chr7:73400000	chr7:73250000	chr7:73000000	chr7:73000000
chr22	31608249	31676066	+	LIMK2	chr22:31608000	chr22:31605000	chr22:31600000	chr22:31600000	chr22:31600000	chr22:31600000	chr22:31500000	chr22:31500000	chr22:31000000
chr2	109150810	109303702	+	LIMS1	chr2:109150000	chr2:109150000	chr2:109150000	chr2:109150000	chr2:109150000	chr2:109100000	chr2:109000000	chr2:109000000	chr2:109000000
chr2	128395995	128439360	-	LIMS2	chr2:128439000	chr2:128435000	chr2:128430000	chr2:128425000	chr2:128400000	chr2:128400000	chr2:128250000	chr2:128000000	chr2:128000000
